[2026-03-22 17:59:10.006] [INFO] === GUI Logging started (2026-03-22 17:59:10) ===
[2026-03-22 17:59:10.020] [INFO] GUI start
[2026-03-22 17:59:16.887] [INFO] [REST-Client] Verbinde mit Core: http://localhost:5000
[2026-03-22 17:59:17.755] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:19.489] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:20.213] [INFO] [MainWindow] Öffne Playlist Editor: http://localhost:5000/playout/editor
[2026-03-22 17:59:21.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:23.492] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:25.490] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:27.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:29.490] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:31.497] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:33.495] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:35.488] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:37.491] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:39.542] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:41.492] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:43.494] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:45.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:47.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:49.490] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:51.488] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:53.371] [INFO] [MainWindow] Öffne Playlist Editor: http://localhost:5000/playout/editor
[2026-03-22 17:59:53.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:55.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:57.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 17:59:59.489] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:01.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:03.491] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:05.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:07.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:09.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:11.497] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:13.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:15.492] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:17.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:19.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:21.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:23.491] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:25.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:27.492] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:29.486] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:31.492] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:33.489] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:35.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:37.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:39.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:41.485] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:43.493] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:45.497] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:47.488] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:49.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:51.497] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:53.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:55.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:57.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:00:59.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:01.488] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:03.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:05.495] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:07.494] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:09.488] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:11.497] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:13.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:15.489] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:17.487] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:19.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:21.486] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:23.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:25.489] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:27.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:29.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:31.484] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:33.494] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:35.498] [DEBUG] [REST-Status] Running=False, Index=0
[2026-03-22 18:01:37.489] [DEBUG] [REST-Status] Running=False, Index=0
